Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2015,Capital Projects,Capital Projects,Ashland Youth Center,Fixed Assets,Fixed Assets,Total of Fixed Assets,1273956,1273956
2014,Capital Projects,Capital Projects,Ashland Youth Center,Fixed Assets,Fixed Assets,Total of Fixed Assets,1646457,1646457
2013,Capital Projects,Capital Projects,Ashland Youth Center,Fixed Assets,Fixed Assets,Total of Fixed Assets,6755232,6755232
2015,Capital Projects,Capital Projects,Capital Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,40000000,40000000
2014,Capital Projects,Capital Projects,East County Courthouse,Fixed Assets,Fixed Assets,Total of Fixed Assets,120729099,120729099
2013,Capital Projects,Capital Projects,East County Courthouse,Fixed Assets,Fixed Assets,Total of Fixed Assets,121558581,121558581
2015,Capital Projects,Capital Projects,East County Courthouse,Fixed Assets,Fixed Assets,Total of Fixed Assets,128472648,128472648
2013,Capital Projects,Capital Projects,GSA-Construction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,750000,750000
2014,Capital Projects,Capital Projects,GSA-Construction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,750000,750000
2015,Capital Projects,Capital Projects,GSA-Construction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,750000,750000
2014,Capital Projects,Capital Projects,GSA-Construction,Fixed Assets,Fixed Assets,Total of Fixed Assets,2837971,2837971
2014,Capital Projects,Capital Projects,GSA-Construction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3100000,3100000
2013,Capital Projects,Capital Projects,GSA-Construction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3100000,3100000
2015,Capital Projects,Capital Projects,GSA-Construction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3350000,3350000
2013,Capital Projects,Capital Projects,GSA-Construction,Fixed Assets,Fixed Assets,Total of Fixed Assets,4137341,4137341
2015,Capital Projects,Capital Projects,GSA-Construction,Fixed Assets,Fixed Assets,Total of Fixed Assets,6607657,6607657
2014,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1000000,1000000
2015,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3000000,3000000
2013,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Other Charges,Other Charges,Total of Other Charges,7850000,7850000
2014,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Other Charges,Other Charges,Total of Other Charges,15000000,15000000
2015,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Other Charges,Other Charges,Total of Other Charges,15000000,15000000
2014,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,115068767,115068767
2013,Capital Projects,Capital Projects,Highland Acute Care Tower Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,169235890,169235890
2013,Capital Projects,Capital Projects,Misc County Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,448740,448740
2014,Capital Projects,Capital Projects,Misc County Projects,Other Charges,Other Charges,Total of Other Charges,995000,995000
2015,Capital Projects,Capital Projects,Misc County Projects,Other Charges,Other Charges,Total of Other Charges,3121700,3121700
2014,Capital Projects,Capital Projects,Misc County Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,22942389,22942389
2015,Capital Projects,Capital Projects,Misc County Projects,Fixed Assets,Fixed Assets,Total of Fixed Assets,88589641,88589641
2015,Capital Projects,Capital Projects,Peralta Oaks Renovation Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,13978384,13978384
2014,Capital Projects,Capital Projects,Peralta Oaks Renovation Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,14887941,14887941
2013,Capital Projects,Capital Projects,Peralta Oaks Renovation Project,Fixed Assets,Fixed Assets,Total of Fixed Assets,18000000,18000000
2013,Capital Projects,Capital Projects,San Lorenzo Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,896565,896565
2015,Capital Projects,Capital Projects,San Lorenzo Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,7885844,7885844
2014,Capital Projects,Capital Projects,San Lorenzo Library,Fixed Assets,Fixed Assets,Total of Fixed Assets,8121335,8121335
2013,Capital Projects,Capital Projects,Surplus Property Authority,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,28671,28671
2014,Capital Projects,Capital Projects,Surplus Property Authority,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,58515,58515
2015,Capital Projects,Capital Projects,Surplus Property Authority,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,70082,70413
2014,Capital Projects,Capital Projects,Surplus Property Authority,Fixed Assets,Fixed Assets,Total of Fixed Assets,225000,225000
2013,Capital Projects,Capital Projects,Surplus Property Authority,Fixed Assets,Fixed Assets,Total of Fixed Assets,225000,225000
2015,Capital Projects,Capital Projects,Surplus Property Authority,Fixed Assets,Fixed Assets,Total of Fixed Assets,225000,225000
2013,Capital Projects,Capital Projects,Surplus Property Authority,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,455077,455077
2014,Capital Projects,Capital Projects,Surplus Property Authority,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,459006,459006
2015,Capital Projects,Capital Projects,Surplus Property Authority,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,479355,479355
2015,Capital Projects,Capital Projects,Surplus Property Authority,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1522780,1522449
2014,Capital Projects,Capital Projects,Surplus Property Authority,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1722449,1722449
2013,Capital Projects,Capital Projects,Surplus Property Authority,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1822449,1822449
2014,Capital Projects,Capital Projects,Surplus Property Authority,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,25148036,25148036
2013,Capital Projects,Capital Projects,Surplus Property Authority,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,31506809,31506809
2015,Capital Projects,Capital Projects,Surplus Property Authority,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,41584789,41584789
